expected step
exploit, step:  51714, spool: 1.71, diameter: 52.50, speed: 70.48, motorV: 78.17, extfrq: 75.29, target: 49.20, greedy_m: 78.17, greedy_e: 75.29, reward: 0.708, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51715, spool: 1.74, diameter: 54.40, speed: 73.12, motorV: 78.74, extfrq: 75.60, target: 49.20, greedy_m: 78.74, greedy_e: 75.60, reward: 0.518, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51716, spool: 1.78, diameter: 56.20, speed: 74.32, motorV: 77.62, extfrq: 76.16, target: 49.20, greedy_m: 77.62, greedy_e: 76.16, reward: 0.338, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51717, spool: 1.82, diameter: 55.60, speed: 75.44, motorV: 76.28, extfrq: 77.31, target: 49.20, greedy_m: 76.28, greedy_e: 77.31, reward: 0.398, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51718, spool: 1.85, diameter: 55.20, speed: 76.40, motorV: 75.78, extfrq: 78.25, target: 49.20, greedy_m: 75.78, greedy_e: 78.25, reward: 0.439, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51719, spool: 1.89, diameter: 54.10, speed: 76.08, motorV: 76.07, extfrq: 78.52, target: 49.20, greedy_m: 76.07, greedy_e: 78.52, reward: 0.549, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51720, spool: 1.93, diameter: 52.40, speed: 75.12, motorV: 76.96, extfrq: 78.39, target: 49.20, greedy_m: 76.96, greedy_e: 78.39, reward: 0.719, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51721, spool: 1.97, diameter: 53.80, speed: 74.56, motorV: 78.27, extfrq: 78.40, target: 49.20, greedy_m: 78.27, greedy_e: 78.40, reward: 0.579, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51722, spool: 2.01, diameter: 55.10, speed: 74.96, motorV: 79.68, extfrq: 78.84, target: 49.20, greedy_m: 79.68, greedy_e: 78.84, reward: 0.449, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51723, spool: 2.04, diameter: 53.90, speed: 75.52, motorV: 80.75, extfrq: 79.41, target: 49.20, greedy_m: 80.75, greedy_e: 79.41, reward: 0.569, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51724, spool: 2.08, diameter: 53.30, speed: 76.24, motorV: 81.61, extfrq: 79.90, target: 49.20, greedy_m: 81.61, greedy_e: 79.90, reward: 0.630, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51725, spool: 2.12, diameter: 54.80, speed: 77.76, motorV: 82.22, extfrq: 80.34, target: 49.20, greedy_m: 82.22, greedy_e: 80.34, reward: 0.480, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51726, spool: 2.16, diameter: 52.20, speed: 79.28, motorV: 82.53, extfrq: 80.65, target: 49.20, greedy_m: 82.53, greedy_e: 80.65, reward: 0.740, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
