expected step
explore, step:  41170, spool: 1.11, diameter: 38.30, speed: 64.88, motorV: 68.23, extfrq: 71.35, target: 50.30, greedy_m: 67.61, greedy_e: 72.43, reward: -0.164, Q_exam: 63.276, am_exam: 73.802, a_exam: 39.254,  6, temp: 79.624
explore, step:  41171, spool: 1.14, diameter: 39.30, speed: 65.12, motorV: 68.24, extfrq: 69.86, target: 50.30, greedy_m: 67.98, greedy_e: 71.09, reward: -0.064, Q_exam: 62.726, am_exam: 77.061, a_exam: 53.808,  7, temp: 79.796
explore, step:  41172, spool: 1.17, diameter: 41.20, speed: 65.44, motorV: 68.51, extfrq: 69.14, target: 50.30, greedy_m: 68.16, greedy_e: 70.17, reward: 0.125, Q_exam: 36.751, am_exam: 35.219, a_exam: 63.891,  9, temp: 79.727
explore, step:  41173, spool: 1.21, diameter: 41.60, speed: 65.28, motorV: 68.26, extfrq: 68.62, target: 50.30, greedy_m: 68.10, greedy_e: 69.62, reward: 0.165, Q_exam: 62.499, am_exam: 18.673, a_exam: 70.099,  1, temp: 79.899
explore, step:  41174, spool: 1.24, diameter: 42.40, speed: 65.36, motorV: 68.37, extfrq: 68.21, target: 50.30, greedy_m: 68.21, greedy_e: 69.31, reward: 0.244, Q_exam: 61.526, am_exam: 66.125, a_exam: 31.693,  2, temp: 79.727
explore, step:  41175, spool: 1.28, diameter: 43.60, speed: 65.92, motorV: 69.44, extfrq: 68.34, target: 50.30, greedy_m: 69.22, greedy_e: 68.96, reward: 0.364, Q_exam: 59.992, am_exam: 34.275, a_exam: 57.027,  4, temp: 79.796
explore, step:  41176, spool: 1.31, diameter: 46.20, speed: 65.76, motorV: 70.46, extfrq: 67.46, target: 50.30, greedy_m: 70.45, greedy_e: 68.62, reward: 0.624, Q_exam: 63.292, am_exam: 72.830, a_exam: 38.006,  5, temp: 79.761
explore, step:  41177, spool: 1.34, diameter: 47.40, speed: 65.52, motorV: 70.55, extfrq: 67.86, target: 50.30, greedy_m: 70.86, greedy_e: 68.93, reward: 0.744, Q_exam: 62.451, am_exam: 78.328, a_exam: 51.700,  7, temp: 79.727
explore, step:  41178, spool: 1.38, diameter: 48.20, speed: 65.76, motorV: 70.96, extfrq: 68.32, target: 50.30, greedy_m: 71.15, greedy_e: 69.53, reward: 0.824, Q_exam: 38.040, am_exam: 36.576, a_exam: 63.146,  9, temp: 79.864
explore, step:  41179, spool: 1.41, diameter: 48.80, speed: 66.96, motorV: 69.82, extfrq: 69.65, target: 50.30, greedy_m: 69.86, greedy_e: 71.10, reward: 0.884, Q_exam: 57.210, am_exam: 45.469, a_exam: 44.164,  1, temp: 79.796
explore, step:  41180, spool: 1.45, diameter: 50.50, speed: 67.36, motorV: 68.51, extfrq: 71.06, target: 50.30, greedy_m: 68.64, greedy_e: 72.44, reward: 1.015, Q_exam: 61.393, am_exam: 65.703, a_exam: 27.605,  2, temp: 79.864
explore, step:  41181, spool: 1.48, diameter: 50.20, speed: 67.36, motorV: 70.37, extfrq: 71.86, target: 50.30, greedy_m: 70.17, greedy_e: 73.59, reward: 1.026, Q_exam: 59.681, am_exam: 38.071, a_exam: 56.407,  4, temp: 79.727
explore, step:  41182, spool: 1.52, diameter: 51.20, speed: 66.80, motorV: 73.47, extfrq: 73.35, target: 50.30, greedy_m: 73.26, greedy_e: 74.82, reward: 0.946, Q_exam: 39.263, am_exam: 39.945, a_exam: 36.220,  6, temp: 79.796
explore, step:  41183, spool: 1.55, diameter: 52.30, speed: 66.88, motorV: 79.91, extfrq: 74.93, target: 50.30, greedy_m: 79.63, greedy_e: 76.19, reward: 0.837, Q_exam: 62.554, am_exam: 79.132, a_exam: 52.291,  7, temp: 79.830
explore, step:  41184, spool: 1.59, diameter: 53.00, speed: 67.76, motorV: 76.14, extfrq: 73.65, target: 50.30, greedy_m: 76.12, greedy_e: 74.78, reward: 0.767, Q_exam: 37.749, am_exam: 34.990, a_exam: 64.023,  9, temp: 79.761
