expected step
exploit, step:  51698, spool: 0.99, diameter: 35.30, speed: 101.28, motorV: 99.94, extfrq: 57.20, target: 33.10, greedy_m: 99.94, greedy_e: 57.20, reward: 0.809, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51699, spool: 1.02, diameter: 35.00, speed: 101.20, motorV: 99.73, extfrq: 55.88, target: 33.10, greedy_m: 99.73, greedy_e: 55.88, reward: 0.839, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51700, spool: 1.04, diameter: 34.30, speed: 100.96, motorV: 99.47, extfrq: 54.60, target: 33.10, greedy_m: 99.47, greedy_e: 54.60, reward: 0.908, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51701, spool: 1.07, diameter: 34.40, speed: 100.64, motorV: 99.15, extfrq: 53.50, target: 33.10, greedy_m: 99.15, greedy_e: 53.50, reward: 0.897, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51702, spool: 1.10, diameter: 32.00, speed: 99.52, motorV: 98.80, extfrq: 52.65, target: 33.10, greedy_m: 98.80, greedy_e: 52.65, reward: 0.917, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51703, spool: 1.13, diameter: 35.40, speed: 99.04, motorV: 98.46, extfrq: 52.00, target: 33.10, greedy_m: 98.46, greedy_e: 52.00, reward: 0.796, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51704, spool: 1.16, diameter: 35.80, speed: 98.88, motorV: 98.17, extfrq: 51.42, target: 33.10, greedy_m: 98.17, greedy_e: 51.42, reward: 0.756, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51705, spool: 1.18, diameter: 35.80, speed: 98.40, motorV: 97.89, extfrq: 50.81, target: 33.10, greedy_m: 97.89, greedy_e: 50.81, reward: 0.756, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51706, spool: 1.21, diameter: 35.90, speed: 98.32, motorV: 97.55, extfrq: 50.00, target: 33.10, greedy_m: 97.55, greedy_e: 50.00, reward: 0.745, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51707, spool: 1.24, diameter: 36.10, speed: 98.24, motorV: 97.07, extfrq: 48.75, target: 33.10, greedy_m: 97.07, greedy_e: 48.75, reward: 0.725, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51708, spool: 1.27, diameter: 37.60, speed: 97.92, motorV: 96.24, extfrq: 46.94, target: 33.10, greedy_m: 96.24, greedy_e: 46.94, reward: 0.574, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51709, spool: 1.29, diameter: 36.80, speed: 97.92, motorV: 94.47, extfrq: 45.65, target: 33.10, greedy_m: 94.47, greedy_e: 45.65, reward: 0.653, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51710, spool: 1.32, diameter: 37.30, speed: 97.52, motorV: 91.00, extfrq: 44.25, target: 33.10, greedy_m: 91.00, greedy_e: 44.25, reward: 0.603, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51711, spool: 1.34, diameter: 39.00, speed: 96.72, motorV: 89.28, extfrq: 40.57, target: 33.10, greedy_m: 89.28, greedy_e: 40.57, reward: 0.432, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51712, spool: 1.36, diameter: 39.90, speed: 95.68, motorV: 92.64, extfrq: 39.94, target: 33.10, greedy_m: 92.64, greedy_e: 39.94, reward: 0.340, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51713, spool: 1.39, diameter: 39.10, speed: 93.92, motorV: 98.96, extfrq: 50.37, target: 33.10, greedy_m: 98.96, greedy_e: 50.37, reward: 0.420, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51714, spool: 1.41, diameter: 37.40, speed: 93.52, motorV: 99.79, extfrq: 50.77, target: 33.10, greedy_m: 99.79, greedy_e: 50.77, reward: 0.595, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51715, spool: 1.44, diameter: 39.40, speed: 96.08, motorV: 99.78, extfrq: 50.95, target: 33.10, greedy_m: 99.78, greedy_e: 50.95, reward: 0.395, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51716, spool: 1.47, diameter: 41.80, speed: 99.04, motorV: 99.01, extfrq: 51.00, target: 33.10, greedy_m: 99.01, greedy_e: 51.00, reward: 0.155, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51717, spool: 1.50, diameter: 43.20, speed: 100.32, motorV: 97.70, extfrq: 50.33, target: 33.10, greedy_m: 97.70, greedy_e: 50.33, reward: 0.016, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51718, spool: 1.52, diameter: 43.80, speed: 99.84, motorV: 96.62, extfrq: 49.35, target: 33.10, greedy_m: 96.62, greedy_e: 49.35, reward: -0.045, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51719, spool: 1.55, diameter: 42.90, speed: 98.56, motorV: 96.26, extfrq: 48.80, target: 33.10, greedy_m: 96.26, greedy_e: 48.80, reward: 0.045, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51720, spool: 1.58, diameter: 43.50, speed: 98.00, motorV: 96.90, extfrq: 49.79, target: 33.10, greedy_m: 96.90, greedy_e: 49.79, reward: -0.016, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51721, spool: 1.60, diameter: 42.90, speed: 97.36, motorV: 97.70, extfrq: 51.36, target: 33.10, greedy_m: 97.70, greedy_e: 51.36, reward: 0.045, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51722, spool: 1.63, diameter: 42.10, speed: 97.28, motorV: 97.93, extfrq: 51.75, target: 33.10, greedy_m: 97.93, greedy_e: 51.75, reward: 0.126, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51723, spool: 1.66, diameter: 41.80, speed: 97.84, motorV: 98.00, extfrq: 51.49, target: 33.10, greedy_m: 98.00, greedy_e: 51.49, reward: 0.156, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51724, spool: 1.69, diameter: 41.10, speed: 98.08, motorV: 98.21, extfrq: 51.23, target: 33.10, greedy_m: 98.21, greedy_e: 51.23, reward: 0.226, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51725, spool: 1.71, diameter: 42.00, speed: 98.16, motorV: 98.47, extfrq: 51.11, target: 33.10, greedy_m: 98.47, greedy_e: 51.11, reward: 0.136, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51726, spool: 1.74, diameter: 42.60, speed: 98.32, motorV: 98.74, extfrq: 51.12, target: 33.10, greedy_m: 98.74, greedy_e: 51.12, reward: 0.076, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51727, spool: 1.77, diameter: 43.60, speed: 98.24, motorV: 99.00, extfrq: 51.17, target: 33.10, greedy_m: 99.00, greedy_e: 51.17, reward: -0.024, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51728, spool: 1.80, diameter: 44.20, speed: 98.56, motorV: 99.23, extfrq: 51.16, target: 33.10, greedy_m: 99.23, greedy_e: 51.16, reward: -0.084, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51729, spool: 1.82, diameter: 41.60, speed: 98.80, motorV: 99.50, extfrq: 50.99, target: 33.10, greedy_m: 99.50, greedy_e: 50.99, reward: 0.176, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51730, spool: 1.85, diameter: 44.40, speed: 98.72, motorV: 99.87, extfrq: 50.64, target: 33.10, greedy_m: 99.87, greedy_e: 50.64, reward: -0.105, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51731, spool: 1.88, diameter: 39.10, speed: 99.04, motorV: 100.00, extfrq: 50.20, target: 33.10, greedy_m: 100.26, greedy_e: 50.20, reward: 0.425, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51732, spool: 1.90, diameter: 35.50, speed: 99.84, motorV: 100.00, extfrq: 49.84, target: 33.10, greedy_m: 100.51, greedy_e: 49.84, reward: 0.785, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51733, spool: 1.93, diameter: 36.70, speed: 100.96, motorV: 100.00, extfrq: 49.51, target: 33.10, greedy_m: 100.52, greedy_e: 49.51, reward: 0.665, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51734, spool: 1.96, diameter: 37.90, speed: 101.44, motorV: 100.00, extfrq: 49.32, target: 33.10, greedy_m: 100.42, greedy_e: 49.32, reward: 0.545, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51735, spool: 1.98, diameter: 39.40, speed: 101.28, motorV: 100.00, extfrq: 49.28, target: 33.10, greedy_m: 100.40, greedy_e: 49.28, reward: 0.395, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51736, spool: 2.01, diameter: 38.70, speed: 101.44, motorV: 100.00, extfrq: 49.15, target: 33.10, greedy_m: 100.44, greedy_e: 49.15, reward: 0.465, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:  51737, spool: 2.04, diameter: 37.50, speed: 101.44, motorV: 100.00, extfrq: 48.93, target: 33.10, greedy_m: 100.52, greedy_e: 48.93, reward: 0.585, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
