expected step
exploit, step:     36, spool: 1.24, diameter: 33.70, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.98, greedy_e: -0.65, reward: -0.084, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     37, spool: 1.27, diameter: 35.00, speed: 100.24, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.84, greedy_e: -0.61, reward: 0.046, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     38, spool: 1.31, diameter: 34.90, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.68, greedy_e: -0.59, reward: 0.036, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     39, spool: 1.34, diameter: 36.80, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.64, greedy_e: -0.56, reward: 0.226, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     40, spool: 1.38, diameter: 35.80, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.65, greedy_e: -0.51, reward: 0.126, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     41, spool: 1.42, diameter: 36.80, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.65, greedy_e: -0.46, reward: 0.226, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     42, spool: 1.45, diameter: 38.20, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.66, greedy_e: -0.42, reward: 0.366, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     43, spool: 1.49, diameter: 39.80, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.66, greedy_e: -0.38, reward: 0.526, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     44, spool: 1.52, diameter: 40.40, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.66, greedy_e: -0.35, reward: 0.586, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     45, spool: 1.56, diameter: 41.70, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.64, greedy_e: -0.33, reward: 0.716, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
